125012.50,462387.50
131562.50,461812.50
128537.50,461787.50
131562.50,461787.50
131612.50,461737.50
131637.50,461712.50
131237.50,461662.50
131262.50,461662.50
131287.50,461662.50
131312.50,461662.50
129337.50,461587.50
131237.50,461587.50
131187.50,461512.50
131212.50,461512.50
131187.50,461312.50
131212.50,461312.50
140437.50,461287.50
130462.50,460912.50
130537.50,460812.50
130562.50,460812.50
130487.50,460787.50
130512.50,460787.50
130562.50,460787.50
130587.50,460787.50
130462.50,460762.50
130487.50,460762.50
130512.50,460762.50
130487.50,460737.50
129662.50,460562.50
138812.50,460137.50
141562.50,460137.50
142537.50,460087.50
142687.50,460087.50
142837.50,459987.50
142837.50,459962.50
134912.50,459812.50
141462.50,459712.50
130387.50,459637.50
128387.50,459312.50
135962.50,459212.50
135962.50,459187.50
141162.50,459137.50
133537.50,459112.50
141137.50,459112.50
135287.50,459037.50
135312.50,459037.50
135362.50,459012.50
137287.50,458687.50
137287.50,458662.50
137237.50,458612.50
134137.50,458562.50
133737.50,458512.50
134262.50,458487.50
136087.50,458462.50
134587.50,458437.50
136012.50,458437.50
134562.50,458412.50
134587.50,458412.50
134537.50,458387.50
134587.50,458387.50
136237.50,458387.50
136087.50,458362.50
136062.50,458337.50
136137.50,458337.50
136187.50,458337.50
137012.50,458187.50
134187.50,458062.50
134812.50,458062.50
134262.50,458012.50
140962.50,457962.50
140862.50,457937.50
140937.50,457937.50
127737.50,457912.50
140437.50,457912.50
126737.50,457862.50
140862.50,457837.50
132137.50,457762.50
132262.50,457687.50
129212.50,457662.50
137712.50,457662.50
137737.50,457637.50
137762.50,457637.50
137787.50,457637.50
129362.50,457612.50
135587.50,457612.50
129412.50,457562.50
129412.50,457537.50
132387.50,457537.50
135712.50,457537.50
129337.50,457487.50
132512.50,457437.50
134887.50,457412.50
129362.50,457387.50
134862.50,457387.50
134887.50,457387.50
134912.50,457387.50
135087.50,457237.50
135112.50,457187.50
135212.50,457162.50
135312.50,457137.50
136887.50,457137.50
136912.50,457137.50
137812.50,457137.50
135162.50,457112.50
136887.50,457112.50
131537.50,457087.50
131562.50,457087.50
131512.50,457062.50
131637.50,457062.50
131662.50,457062.50
131712.50,457062.50
135262.50,457062.50
136362.50,456987.50
136362.50,456962.50
141162.50,456962.50
135887.50,456937.50
136437.50,456837.50
137412.50,456787.50
137337.50,456762.50
137737.50,456762.50
137737.50,456712.50
132837.50,456687.50
137837.50,456687.50
132862.50,456637.50
135662.50,456637.50
136237.50,456587.50
132887.50,456562.50
135737.50,456562.50
136237.50,456562.50
132862.50,456537.50
135862.50,456487.50
135837.50,456462.50
135887.50,456462.50
135937.50,456437.50
137362.50,456387.50
137437.50,456387.50
136937.50,456362.50
137337.50,456362.50
136487.50,456337.50
136812.50,456337.50
136662.50,456312.50
136687.50,456312.50
136487.50,456287.50
136662.50,456287.50
136662.50,456262.50
129287.50,456237.50
